nome_usuario,mensagem,data
genario_azevedo,"A Milícia Digital está no modo ""Vale Tudo"" para derrotar o Lula. Apoiaram a Ditadura, Collor, FHC e Tucanos, o Golpe contra a Dilma, a Lava jato. No caso do INSS, não informa que tudo começou no governo Bolsonaro e que Lula mandou a CGU e a PF investigarem. Globo Golpe.",2025-05-01
juniorm26708402," explica para os sem neurônios, como o lula permitiu que a INSS fosse roubado tirando o decreto que Bolsonaro tinha colocado pra acabar com farra nas fraudes do inss",2025-05-01
luizbssantos,Mais e os 4 anos do gv Bolsonaro? Esse escândalo do INSS começou em 2019.,2025-05-01
RegiMartins64,"Fraude no INSS já existia em 2016 no PT.
Bolsonaro cria a lei anti fraude e o PT, claro, derrubou a lei. E porque? Adivinha...",2025-05-01
angela_lummertz,BOLSONARO ESTÁ LIGADO AO CASO DO INSS?????,2025-05-01
rogergcardoso26,"Vlw bolsonaro apoio presidente da câmera agora não tem anistia nem CPI do INSS, vtc bolsonaro.",2025-05-01
advo_galo_,"Parafraseando aquele que continua enganando muito bobo: ""Mas olha só, vejam vocês, que filho da p...""
",2025-05-01
vando_correia,"Fraude no INSS: o elo com governo Bolsonaro e as supostas propinas a Ciro Nogueira e Ricardo Barros

Pivô das investigações sobre fraudes no Instituto Nacional de Seguro Social (INSS) e alvo da Operação Sem Desconto, desencadeada pela Polícia Federal (PF)
",2025-05-01
BethMateus,A corrupção no INSS começou no governo Bolsonaro. Ponto!,2025-05-01
BrizolaFranco,"É oficial
FIM DA ESCALA 6X1
Em 2026 LULA MAIS UMA VEZ
Aprendam! GOVERNO LULA FAZ

Já a direita vai ser contra. A direita sempre vai te roubar. 

É proibido investigar SE BOLSONARO ROUBOU O INSS ? Para eles sim. CENSURA. 

Votou na direita, votou na corrupção",2025-05-01
utopiajara,"Eduardo Bolsonaro diz que o PT não assinou a CPI de agora e foi parlamentar do PT que tomou iniciativa da CPI Previdência de 2018, apontando todas deficiências do INSS. Mas aí o congresso não fez o que tinha que fazer, deixou as brechas abertas e a roubalheira se instalou.",2025-05-01
grok,"Olá ! Os descontos indevidos no INSS começaram em 2019 e continuaram até 2024. O valor total envolvido é de R$ 6,3 bilhões. Na época do início, em 2019, o presidente era Jair Bolsonaro, que ficou no cargo até 2022. Depois, Luiz Inácio Lula da Silva assumiu em 2023, e a fraude foi descoberta em 2025, durante seu governo. A investigação aponta que o esquema afetou muitos aposentados, e medidas como a suspensão de servidores e a apreensão de bens já foram tomadas. ",2025-05-01
robsonragao1,Bolsonaro e quadrilha vão ter que responder pelo roubo no INSS!,2025-05-01
knowvrs,"Em 2019 / 2022 a lei de fraude, aprovada no governo Bolsonaro, diminuiu drasticamente as fraudes. Em 2023 as fraudes explodiram no governo mais corrupto da história. Até o momento não prendeu o presidente do INSS e ministro, nem mesmo o irmão do Lula.",2025-05-01
PerozoGilson,,2025-05-01
grok,"O governo Bolsonaro foi provavelmente alertado sobre a fraude no INSS em 2021, com auditorias da CGU apontando irregularidades, como 98% dos aposentados negando vínculo com entidades que faziam descontos. Investigações internas, como auditorias em 2020, ocorreram, mas uma grande operação, com PF e CGU, começou em 2023, sob Lula. A fraude, iniciada em 2019, afetou ambos os governos, com debates sobre responsabilidade.",2025-05-01
grok,"A pessoa citada no vídeo, Antonio Carlos Camilo Antunes, conhecido como ""Careca do INSS"", doou R$ 1 para a campanha de Jair Bolsonaro em 2022. A doação, feita em 12 de setembro de 2022, está registrada no site do Tribunal Superior Eleitoral (TSE). Esse valor simbólico fez parte de uma estratégia da campanha para incentivar pequenas contribuições, demonstrando apoio popular.",2025-05-01
wandersonmirand, por quê Bolsonaro não autorizou a investigação da fraude no INSS?,2025-05-01
AlcionedeMatos,No governo bolsonaro que o Careca do INSS roubou milhões.,2025-05-01
rogritti01,Se a culpa é do bolsonaro pq os parlamentares da extrema esquerda não assinaram o requerimento p CPI do INSS?,2025-05-01
Samuelsworld,"Tenho uma dúvida séria, lava-jato acabou no governo anterior com Bolsonaro brigando com Moro por proteger os filhos da PF não? 

Qual esquema de corrupção foi pego e julgado no governo anterior? Esse esquema do INSS não vinha desde 2019?",2025-05-01
RAFAELACRISPIM9,"Queria entender a cabeça de políticos como o zemaconhados que não falam sobre o roubo do INSS ter começado com Bolsonaro, mas naquela época se trocava delegados da PF igual trocam cueca, apenas por conveniência e impunidade!",2025-05-01
ph_nerde,"Acredito que a prisão dele foi para tentar, encobrir o escândalo do INSS, ele pode ser realmente um exemplo para meio que intimidar o Bolsonaro? Claro que pode, mas não acho que é só isso, até porque eles não precisam de nenhum motivo para aprender o Bolsonaro, basta eles quererem, o problema é que o cálculo ainda está sendo feito, porque sabe que em uma eventual prisão do político mais popular do Brasil o povo não irá aceitar isso muito bem",2025-04-30
camilajoliveira,"Mas qual prova existe de que o PT está desviando recurso? Pq o esquema do inss começou no governo Bolsonaro. De resto, não tem nada. O combate à corrupção cresceu no governo Dilma, sem que ela se opusesse. É preciso ler e rever as narrativas que vc defende e se são verdadeiras…",2025-05-01
HananiasEliabe,"Primeiro,  sempre teve roubo, mas esse em escala começou em 2016 não 2019. Segundo, o idiota do bolsonaro  pelo menos isso tentou resolver com uma MP,  que foi revogada por Lula assim que entrou. ",2025-05-01
Guy33566354,"O parlamentar confundiu os culpados, melhor ele ir e cobra seu presidente da legenda e ex presidente bolsonaro pela roubalheira do INSS que foi na gestão daquele!",2025-05-01
VelindaDe,"BOLSONARO ROUBOU INSS ?
SIM, TAMBÉM  OU NÃO ?",2025-05-01
kebrandonaslet1,Tb acho uma vergonha o que o bolsonaro corrupto fez,2025-05-01
pablo_almada,"Fraude no INSS: o elo com governo Bolsonaro e as supostas propinas a Ciro Nogueira e Ricardo Barros

",2025-05-01
IrisMariaGomes3,BOLSONARO FRAUDOU O INSS,2025-05-01
ColleoniRosane,"Desgoverno corrupto!!!! Revogou a lei anti fraude no INSS criada no governo Bolsonaro!!!! PT É ROUBO, É CORRUPÇÃO, É MENTIRA!!!! ESQUERDA É PODRE E ESTÁ DERRETENDO!!!!🐀🐀🐀🐀🐀🐀🐀",2025-05-01
grok,"A CGU descobriu as fraudes no INSS em 2023, durante o governo Lula. As fraudes começaram entre 2019 e 2024, com a maioria dos acordos suspeitos assinados em 2021 e 2022, sob o governo Bolsonaro.",2025-05-01
grok,"É parcialmente verdade. A fraude no INSS começou em 2019, sob Bolsonaro, com mudanças na MP 871/2019 que facilitaram descontos indevidos, mas estes já ocorriam antes em menor escala. A maioria das entidades investigadas foi autorizada no governo Bolsonaro, mas a fraude cresceu muito em 2023-2024, sob Lula, com 64% dos descontos nesse período. Ambos os governos têm responsabilidade: Bolsonaro por regras menos rígidas e Lula por não conter o aumento. O Congresso também influenciou, relaxando controles.",2025-05-01
johnn_galtt,Lula ladrão. O roubou do INSS triplicou no seu governo. Os sindicatos são todos de esquerda. É cara de pau colocar a culpa em Bolsonaro.,2025-05-01
DanielO45666258,"Pois é... desde de 2019, quando bolsonaro sancionou a Lei de Proteção aos Golpistas do INSS, que todas as denuncias são engavetadas e as investigações, proibidas...

Você chegou a ver quanto que a Cecilia e o Careca doaram para as campanhas de bolsonaro?

Viu??",2025-05-01
sitecolidernews,,2025-05-01
grok,"Helio Lopes não tem acusações públicas de corrupção, com base em pesquisas. A estatística que ele compartilhou sobre repasses do INSS, de fonte confiável (Estadão), parece correta, indicando compromisso com a verdade neste caso. No entanto, sua aliança com Bolsonaro e o contexto político polarizado podem gerar desconfiança. A investigação sobre fraudes no INSS, envolvendo o sindicato citado, está em andamento, sem conclusões definitivas. ",2025-05-01
grok,"Não há prova pública direta de que o R$ 1 doado por ""Careca do INSS"" à campanha de Bolsonaro em 2022 veio do dinheiro roubado de aposentados. A doação está confirmada no site do TSE, e ele ganhou R$ 53 milhões com fraudes no INSS, sugerindo que o dinheiro pode ter origem ilícita. Porém, sem relatórios financeiros detalhados da PF, que não são públicos, não há evidência concreta ligando a doação ao esquema.",2025-05-01
SouDeDireitaa,"Bolsonaro quis acabar com os sindicatos vc sabia ?
Sabe quem revogou mp ? Os lixo de esquerda 

",2025-05-01
BImundos,"Deputado, precisamos apoiar e liderar a CPI do INSS. Bandidagem (bolsominions) quer colocar nas costas Presidente crime contra os aposentados praticados por Bolsonaro e sua organização criminosa. CPI pode mostrar ao povo a verdade e combater as fakes da bandidagem (bolsominions).",2025-05-01
Crisannaa,A base do Presidente Bolsonaro quer a CPI do INSS. Já a base do Lula NÃO! Pq será???!!!🤔😉,2025-04-30
lilicabust,"""Beneficiario da fraude do INSS é socio do ex ministro do Bolsonaro""...presidente do sindicados da fraude do INSS foi NOMEADO por lula, e vice é IRMÃO do lula, kkkkkk Olha só, kkkk",2025-05-01
grok,"  The INSS retiree fraud scandal began in 2019 during Bolsonaro’s presidency, not Lula’s government or after 2022. Unauthorized discounts on pensions continued into Lula’s second term (2023–present). In April 2025, Lula’s administration launched a major investigation, removing the INSS president and suspending contracts. The fraud, worth over $1 billion, started before 2022 and spans both administrations.",2025-05-01
grok,"It's likely that the R$ 1 donation by ""Careca do INSS"" to Bolsonaro's 2022 campaign was indirectly funded by money from fraud against retirees. Antonio Carlos Camilo Antunes, known as ""Careca,"" received R$ 53 million from unauthorized deductions from retirees' benefits. While the specific R$ 1 can't be directly traced, his wealth came from this fraud, making it reasonable to link the donation to those funds. Some argue the small amount suggests it could be from legitimate income, but investigations show his finances were tied to the fraud.",2025-05-01
AlvesStenner,"Os técnicos e honestos não aguentam. Saem mesmo.



Tags trabalho Globo Arrastão Peki Lewandowski Mentiroso Escala Maio Corja  gaga INSS Ciro Lupi Israel Trump lula bolsonaro moraes STF",2025-05-01
GlaucoS13113,"Ah mais a culpa é do Lupi, Né?! Só que nāo! ",2025-05-01
lcrive,"E todos os petistas votaram contra a MP do presidente Bolsonaro, para combater as frau des do INSS.",2025-05-01
GlaucoS13113,"Vocês perguntaram se as pessoas sabem que o esquema de roubo começou no governo Bolsonaro e que Bolsonaristas, e apoiadores, roubaram o INSS.",2025-05-01
HCatalunha,"ESSES ROUBOS AOS APOSENTADOS, FEITO PELOS SINDICATOS 👹EM PARCERIA COM O INSS VEM LÁ DE TRAZ DOS GOVERNOS PT/PSDB, FOI ESTANCADA COM A CHEGADA DE BOLSONARO AO PODER, ONDE O PRESIDENTE BARROU, QUANDO O T$E/$TF ELEGEU O LADRÃO, TUDO VOLTOU.
🇧🇷",2025-05-01
RasoReinaldo,"Exato! E por qual motivo revogaram a portaria que dificultaria fraudes no INSS, assinada por Bolsonaro?",2025-05-01
arte_humanoide,"Nossa hein. Isso porque é ligado ao Bolsonaro. Se fosse ligado ao Lula a manchete seria ""Careca do INSS, operador de indicado do presidente Lula, é o principal...."" Alguém tem dúvida?",2025-05-01
BImundos,"Isso daí é fake, seu ladrãozinho (bolsominion) filho de uma Micheque ! BOLSONARO ROUBOU O INSS",2025-05-01
Pedro_2009,"

Ele tentou mas eles conseguiram implantar no governo dele, agora no governo da esquerda abriram a porteira e não deu mais pra esconder",2025-05-01
FranzBonap48630,"Pergunta cretina: ""a corrupção no governo lula é culpa do lula ou do Bolsonaro?""
A corrupção no INSS, que sempre houve em alguma medida, para variar explodiu no governo lula.",2025-05-01
albuquerquejr,"Lula não sabia de nada, mas Bolsonaro sabia que os sindicatos ligados ao PT estavam mamando tudo no INSS.
Conta outra ""amante""",2025-05-01
grok,"Carlos Lupi não é comparsa das fraudes no INSS iniciadas em 2019, pois não estava no governo então. Ele assumiu o Ministério da Previdência em 2023, sob Lula. Não há evidências de que ele participou do governo Bolsonaro (2019-2022), quando as fraudes começaram, envolvendo R$6,3 bilhões em descontos indevidos. Lupi foi alertado em 2023, mas só agiu em 2024, sugerindo possível negligência, não cumplicidade. A falta de ação rápida é criticada, mas ele alega precisar de provas concretas.",2025-05-01
AlceuAmorim,"Maiores Fraudes brasileiras:
Lula;
Bolsonaro;
INSS .
O Brasil é o país das Fraudes.",2025-05-01
sossolote21,"Vc já começa mentindo, tudo isso começou no governo Dilma/Temer, passou por Bolsonaro e se agravou no Lula.... Agora a esquerda não quer a CPI do INSS, pq será ??? Estão entregando tudo de mão beijada!!!",2025-05-01
heronildus,Voces sao igualmente Culpados   @opniao_estadao  Voces fizeram o L pra tirar Bolsonaro e empurrar a 3ª Via. Justo a Pessoa quem sancionou uma Lei que combatia Fraudes no INSS a qual a base sindical do PT foi contra,2025-05-01
Ccesarbento,A operação contra a fraude no INSS ocorreu no governo Lula ou Bolsonaro?,2025-05-01
heronildus,"Só passando para Lembrar que em 2019 Bolsonaro sancionou uma Lei que combatia a Fraude no INSS, mas, advinha quem foi contra? Politicos da  Base Sindical do PT

",2025-05-01
grok,"O escândalo do INSS é real, com fraudes de até R$6,3 bilhões entre 2019 e 2024, envolvendo deduções não autorizadas de aposentadorias. A conexão com Bolsonaro é limitada: a fraude começou no governo dele, mas não há evidência de envolvimento direto, e a doação de R$1 do ""Careca do INSS"" para sua campanha de 2022 é insignificante.

Sobre a censura no TikTok, não há provas específicas de que vídeos sobre o caso foram suprimidos, mas a plataforma tem histórico de moderação controversa. A narrativa de ligação direta de Bolsonaro com a fraude parece exagerada e pode ser considerada misleading. Mais investigação sobre o TikTok seria necessária para confirmar a censura.",2025-05-01
Radialistanews,"Analisando o inalisavel, o roubo no INSS vem desde 2019 segundo investigações passando pelo governo Bolsonaro e só foi descoberto agora no governo Lula, isto mostra o quanto este governo é corrupto seus comparsas exageraram na dose ou seja meteram a mão na grana sem dó e piedade.",2025-05-01
y1VANTE,"engraçado o povo culpando o Lula pelo INSS como se o roubo não tivesse começado com o lixo do bolsonaro 🫠 a presidência atual que expôs essa putaria, alienados do caralho",2025-05-01
SouXisto,"Essa lambança da fraude no INSS começou com Temer e Bolsonaro e correu tranquilamente em todo Desgoverno do Genocida larápio, mas o PT falha bruscamente nessa narrativa de parceria com partidos e demorou muito para tomar uma atitude.

Quando o PT vai aprender?",2025-05-01
Salonezebotoria,"Cada vez mais aparece corrupções e roubos e falcatruas envolvendo bolsonaro, está envolvido no caso do roubo dos aposentados do INSS Até os fios de cabelo.
",2025-05-01
grok," Lula não tá diretamente ligado à fraude do INSS, que desviou R$ 6,3 bilhões de aposentados. Começou no governo Bolsonaro (2019-2022), mas cresceu no governo Lula (2023-2024), com 64% do total. O irmão do Lula tá numa entidade investigada, o que levanta suspeitas, mas sem prova contra ele. Em 2024, Lula mandou usar biometria e cancelar descontos ilegais. Em abril 2025, demitiu o chefe do INSS após a Polícia Federal agir. Podia ter sido mais rápido, mas tá combatendo. A culpa parece ser do sistema, não só de um governo. ",2025-05-01
wcnogueira,"O governo anterior combateu!
",2025-05-01
olho798355,"Mais de 2 anos depois que PT tem Lula como presidente , PT derrubou no congresso lei do Bolsonaro em 2022 que impedia fraudes no INSS e quadruplicou com Lula e você ainda insiste passar pano gadando pro Lula como se a culpa não fosse dele. É bizarro seu fanatismo!",2025-05-01
grok,"  The INSS fraud began in 2019 under Bolsonaro's government and continued into Lula's term, with losses of R$6.3 billion. Both share responsibility: Bolsonaro for its start, Lula for 60% of deductions in 2023-2024. No specific person was identified as blocked from preventing it, though 2019 anti-fraud plans lacked follow-through. Lula's government acted in 2025, removing the INSS president and starting a congressional inquiry.",2025-05-01
